purchase_id,student_id,subscription_type,refund_id,refunded_date,first_purchase_date,current_purchase_date,price,revenue_type,refunds,student_country
6679,134826,lifetime,NULL,10/11/2018 15:43,10/11/2018 3:00,10/11/2018 3:00,29,new,refund,BG
6680,127232,lifetime,NULL,10/11/2018 11:55,10/11/2018 3:00,10/11/2018 3:00,29,new,refund,
6681,127233,lifetime,NULL,10/11/2018 11:48,10/11/2018 3:00,10/11/2018 3:00,29,new,refund,
6682,1273,lifetime,NULL,10/11/2018 11:44,10/11/2018 3:00,10/11/2018 3:00,29,new,refund,BG
6674,134826,lifetime,NULL,11/12/2018 9:16,11/11/2018 2:00,10/11/2018 3:00,29,recurring,refund,BG
6675,127232,lifetime,NULL,11/12/2018 9:17,11/11/2018 2:00,10/11/2018 3:00,29,recurring,refund,
6676,127233,lifetime,NULL,11/12/2018 9:16,11/11/2018 2:00,10/11/2018 3:00,29,recurring,refund,
6677,1273,lifetime,NULL,11/12/2018 9:16,11/11/2018 2:00,10/11/2018 3:00,29,recurring,refund,BG
6672,127231,lifetime,NULL,NULL,3/21/2019 2:00,3/21/2019 2:00,199,new,revenue,
6671,127230,lifetime,NULL,NULL,3/24/2019 2:00,3/24/2019 2:00,199,new,revenue,
6670,12588,lifetime,NULL,NULL,3/28/2019 2:00,3/28/2019 2:00,199,new,revenue,KE
6669,127229,lifetime,NULL,NULL,4/8/2019 3:00,4/8/2019 3:00,199,new,revenue,
6668,127228,lifetime,NULL,NULL,4/10/2019 3:00,4/10/2019 3:00,199,new,revenue,
6667,127227,lifetime,NULL,NULL,4/24/2019 3:00,4/24/2019 3:00,199,new,revenue,
6666,127226,lifetime,NULL,NULL,5/9/2019 3:00,5/9/2019 3:00,199,new,revenue,
6665,19932,lifetime,NULL,NULL,5/13/2019 3:00,5/13/2019 3:00,199,new,revenue,US
6664,63038,lifetime,NULL,NULL,5/16/2019 3:00,5/16/2019 3:00,199,new,revenue,OM
6662,127225,lifetime,NULL,6/13/2019 10:41,5/21/2019 3:00,5/21/2019 3:00,199,new,refund,
6663,9637,lifetime,NULL,NULL,5/21/2019 3:00,5/21/2019 3:00,199,new,revenue,NO
6661,19087,lifetime,NULL,NULL,5/22/2019 3:00,5/22/2019 3:00,199,new,revenue,CN
6660,135314,lifetime,NULL,NULL,5/23/2019 3:00,5/23/2019 3:00,400,new,revenue,
6659,11420,lifetime,NULL,NULL,7/3/2019 3:00,7/3/2019 3:00,199,new,revenue,CH
6658,127223,lifetime,NULL,7/15/2019 16:37,7/9/2019 3:00,7/9/2019 3:00,199,new,refund,
6657,11872,lifetime,NULL,NULL,7/11/2019 3:00,7/11/2019 3:00,199,new,revenue,US
6656,1068,lifetime,NULL,NULL,7/24/2019 3:00,7/24/2019 3:00,199,new,revenue,EG
6655,9561,lifetime,NULL,NULL,7/29/2019 3:00,7/29/2019 3:00,199,new,revenue,US
6654,2498,lifetime,NULL,NULL,8/9/2019 3:00,8/9/2019 3:00,150,new,revenue,RU
6653,127222,lifetime,NULL,NULL,8/10/2019 3:00,8/10/2019 3:00,199,new,revenue,
6652,28517,lifetime,NULL,8/19/2019 9:18,8/15/2019 3:00,8/15/2019 3:00,199,new,refund,US
6651,127221,lifetime,NULL,NULL,8/21/2019 3:00,8/21/2019 3:00,199,new,revenue,
6650,127220,lifetime,NULL,NULL,9/5/2019 3:00,9/5/2019 3:00,199,new,revenue,
6648,127219,lifetime,NULL,NULL,9/21/2019 3:00,9/21/2019 3:00,199,new,revenue,
6649,4710,lifetime,NULL,NULL,9/21/2019 3:00,9/21/2019 3:00,199,new,revenue,IL
6647,2147,lifetime,NULL,NULL,10/10/2019 3:00,10/10/2019 3:00,400,new,revenue,ZA
6646,76964,lifetime,NULL,NULL,10/21/2019 3:00,10/21/2019 3:00,199,new,revenue,TN
6645,989,lifetime,NULL,NULL,11/5/2019 2:00,11/5/2019 2:00,199,new,revenue,IT
6643,6933,lifetime,NULL,NULL,11/11/2019 2:00,11/11/2019 2:00,199,new,revenue,CA
6644,106068,lifetime,NULL,NULL,11/11/2019 2:00,11/11/2019 2:00,199,new,revenue,GB
6642,17732,lifetime,NULL,NULL,11/13/2019 2:00,11/13/2019 2:00,199,new,revenue,US
6641,8016,lifetime,NULL,NULL,11/18/2019 2:00,11/18/2019 2:00,199,new,revenue,IN
6640,2102,lifetime,NULL,NULL,11/25/2019 2:00,11/25/2019 2:00,400,new,revenue,US
6639,14774,lifetime,NULL,NULL,12/7/2019 2:00,12/7/2019 2:00,199,new,revenue,GB
6637,22413,lifetime,NULL,NULL,12/21/2019 2:00,12/21/2019 2:00,199,new,revenue,AU
6638,134685,lifetime,NULL,NULL,12/21/2019 2:00,12/21/2019 2:00,199,new,revenue,
6636,134687,lifetime,NULL,NULL,12/23/2019 2:00,12/23/2019 2:00,199,new,revenue,
6635,18606,lifetime,NULL,NULL,1/11/2020 2:00,1/11/2020 2:00,199,new,revenue,US
6634,22663,lifetime,NULL,NULL,1/13/2020 2:00,1/13/2020 2:00,199,new,revenue,US
6633,1485,lifetime,NULL,NULL,1/15/2020 2:00,1/15/2020 2:00,199,new,revenue,PH
6632,8815,lifetime,NULL,NULL,1/20/2020 2:00,1/20/2020 2:00,199,new,revenue,SE
2,139664,monthly,NULL,NULL,1/27/2020 0:00,1/27/2020 0:00,40.19,new,revenue,
3,1170,annual,NULL,NULL,1/28/2020 0:00,1/28/2020 0:00,221.41,new,revenue,GB
4,6366,annual,NULL,NULL,1/28/2020 0:00,1/28/2020 0:00,421.28,new,revenue,NL
6,24897,monthly,NULL,NULL,1/29/2020 0:00,4/29/2020 0:00,38.25,recurring,revenue,US
7,6822,monthly,NULL,NULL,1/29/2020 0:00,1/29/2020 0:00,36,new,revenue,DE
8,2765,monthly,NULL,NULL,1/29/2020 0:00,6/29/2020 0:00,31.18,recurring,revenue,US
9,31627,monthly,NULL,NULL,1/29/2020 0:00,4/29/2020 0:00,28.8,recurring,revenue,US
6631,22351,lifetime,NULL,NULL,1/29/2020 2:00,1/29/2020 2:00,199,new,revenue,US
7014,1495,annual,NULL,NULL,1/30/2020 2:00,1/30/2020 2:00,184.44,new,revenue,IT
10,72381,monthly,NULL,NULL,1/31/2020 0:00,3/29/2020 0:00,31.18,recurring,revenue,US
11,26416,monthly,NULL,NULL,1/31/2020 0:00,2/29/2020 0:00,36,recurring,revenue,NG
12,4698,monthly,NULL,NULL,1/31/2020 0:00,1/31/2020 0:00,28.8,new,revenue,US
6630,3349,lifetime,NULL,1/31/2020 9:25,1/31/2020 2:00,1/31/2020 2:00,199,new,refund,SG
13,2622,annual,NULL,NULL,2/1/2020 0:00,2/1/2020 0:00,198.65,new,revenue,CH
14,2714,annual,NULL,NULL,2/1/2020 0:00,2/1/2020 0:00,417.29,new,revenue,GB
15,23694,monthly,NULL,NULL,2/2/2020 0:00,7/2/2020 0:00,28.8,recurring,revenue,US
16,2851,annual,NULL,NULL,2/2/2020 0:00,2/2/2020 0:00,203.37,new,revenue,AU
17,22735,monthly,NULL,NULL,2/2/2020 0:00,3/2/2020 0:00,45.1,recurring,revenue,SE
18,135384,monthly,NULL,NULL,2/3/2020 0:00,7/3/2020 0:00,35.98,recurring,revenue,
19,125191,monthly,NULL,NULL,2/3/2020 0:00,4/3/2020 0:00,36,recurring,revenue,US
20,20134,monthly,NULL,NULL,2/3/2020 0:00,7/3/2020 0:00,43.91,recurring,revenue,BG
21,3755,annual,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,184.05,new,revenue,BR
22,3630,annual,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,200.58,new,revenue,US
23,3003,annual,NULL,NULL,2/4/2020 0:00,2/4/2020 0:00,331.57,new,revenue,DE
24,12387,monthly,NULL,NULL,2/5/2020 0:00,4/5/2020 0:00,33.94,recurring,revenue,IN
25,6899,annual,NULL,NULL,2/5/2020 0:00,2/5/2020 0:00,197.35,new,revenue,US
6629,3292,lifetime,NULL,NULL,2/6/2020 2:00,2/6/2020 2:00,199,new,revenue,NL
7013,127246,annual,NULL,NULL,2/6/2020 2:00,2/6/2020 2:00,233.16,new,revenue,
26,135382,monthly,NULL,NULL,2/7/2020 0:00,3/7/2020 0:00,36,recurring,revenue,
27,135383,monthly,NULL,NULL,2/7/2020 0:00,6/7/2020 0:00,30.53,recurring,revenue,
28,3565,annual,NULL,NULL,2/8/2020 0:00,2/8/2020 0:00,184.44,new,revenue,MY
29,35511,monthly,NULL,NULL,2/8/2020 0:00,4/8/2020 0:00,28.8,recurring,revenue,US
30,51952,monthly,NULL,NULL,2/8/2020 0:00,4/8/2020 0:00,28.8,recurring,revenue,US
31,9101,annual,NULL,NULL,2/9/2020 0:00,2/9/2020 0:00,184.44,new,revenue,GB
32,3783,annual,NULL,NULL,2/9/2020 0:00,2/9/2020 0:00,301.37,new,revenue,US
33,139837,monthly,NULL,NULL,2/10/2020 0:00,2/10/2020 0:00,39.95,new,revenue,
6627,12852,lifetime,NULL,NULL,2/10/2020 2:00,2/10/2020 2:00,199,new,revenue,US
6628,8679,lifetime,NULL,NULL,2/10/2020 2:00,2/10/2020 2:00,199,new,revenue,DE
34,139836,monthly,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,43.55,new,revenue,
35,23221,monthly,NULL,NULL,2/11/2020 0:00,5/11/2020 0:00,43.32,recurring,revenue,FR
36,139815,monthly,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,36,new,revenue,
37,2481,annual,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,203.2,new,revenue,AU
38,139775,annual,NULL,NULL,2/11/2020 0:00,2/11/2020 0:00,221.52,new,revenue,
7011,14960,annual,NULL,NULL,2/11/2020 2:00,2/11/2020 2:00,184.44,new,revenue,AU
7012,3147,annual,NULL,NULL,2/11/2020 2:00,3/17/2021 18:36,184.44,recurring,revenue,ZA
39,43313,monthly,NULL,NULL,2/13/2020 0:00,4/29/2020 0:00,28.8,recurring,revenue,UA
40,5235,annual,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,200.3,new,revenue,US
41,2633,annual,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,223.02,new,revenue,NL
42,36407,monthly,NULL,NULL,2/14/2020 0:00,2/14/2020 0:00,45.07,new,revenue,IE
